Datetime,Time (rel/ms),Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Temp,1:Y (II),1:ETR,1:Fo',1:ETR-F.,1:qP,1:qN,1:qL,1:NPQ,1:Y (NO),1:Y (NPQ),1:Fo,1:Fm,1:Fv/Fm,specimen_ID,subsample_ID
4/21/22 17:17,1101568,4/21/22,17:17:09,FO,1,161,501,0,-,0.679,0,-,0.84,-,-,-,-,-,-,161,501,0.679,20220421-AQUE-001,20220421-AQUE-001-A
4/21/22 17:17,1108578,4/21/22,17:17:16,FO,2,128,522,0,-,0.755,0,-,0.84,-,-,-,-,-,-,128,522,0.755,20220421-AQUE-001,20220421-AQUE-001-A
4/21/22 17:17,1125262,4/21/22,17:17:33,FO,3,135,559,0,-,0.758,0,-,0.84,-,-,-,-,-,-,135,559,0.758,20220421-AQUE-001,20220421-AQUE-001-A
4/21/22 17:17,1138276,4/21/22,17:17:46,FO,4,260,946,0,-,0.725,0,-,0.84,-,-,-,-,-,-,260,946,0.725,20220421-AQUE-001,20220421-AQUE-001-A
4/21/22 17:17,1149899,4/21/22,17:17:57,FO,5,186,710,0,-,0.738,0,-,0.84,-,-,-,-,-,-,186,710,0.738,20220421-AQUE-001,20220421-AQUE-001-A
4/21/22 17:18,1167665,4/21/22,17:18:15,FO,6,135,570,0,-,0.763,0,-,0.84,-,-,-,-,-,-,135,570,0.763,20220421-AQUE-001,20220421-AQUE-001-A
4/21/22 17:18,1183225,4/21/22,17:18:31,FO,7,130,546,0,-,0.762,0,-,0.84,-,-,-,-,-,-,130,546,0.762,20220421-AQUE-001,20220421-AQUE-001-A
4/21/22 17:18,1200372,4/21/22,17:18:48,FO,8,223,801,0,-,0.722,0,-,0.84,-,-,-,-,-,-,223,801,0.722,20220421-AQUE-001,20220421-AQUE-001-A
4/21/22 17:18,1210106,4/21/22,17:18:58,FO,9,135,552,0,-,0.755,0,-,0.84,-,-,-,-,-,-,135,552,0.755,20220421-AQUE-001,20220421-AQUE-001-A
4/21/22 17:19,1229392,4/21/22,17:19:17,FO,10,179,578,0,-,0.69,0,-,0.84,-,-,-,-,-,-,179,578,0.69,20220421-AQUE-001,20220421-AQUE-001-A
4/21/22 17:19,1237191,4/21/22,17:19:25,FO,11,5,9,0,-,-,-,-,0.84,-,-,-,-,-,-,5,9,-,NA,NA
4/21/22 17:19,1240955,4/21/22,17:19:29,FO,12,7,8,0,-,-,-,-,0.84,-,-,-,-,-,-,7,8,-,NA,NA
4/21/22 17:20,1330577,4/21/22,17:20:58,FO,13,129,574,0,-,0.775,0,-,0.84,-,-,-,-,-,-,129,574,0.775,20220421-AQUE-001,20220421-AQUE-001-B
4/21/22 17:21,1354682,4/21/22,17:21:22,FO,14,163,604,0,-,0.73,0,-,0.84,-,-,-,-,-,-,163,604,0.73,20220421-AQUE-001,20220421-AQUE-001-B
4/21/22 17:21,1374824,4/21/22,17:21:42,FO,15,143,617,0,-,0.768,0,-,0.84,-,-,-,-,-,-,143,617,0.768,20220421-AQUE-001,20220421-AQUE-001-B
4/21/22 17:21,1386962,4/21/22,17:21:55,FO,16,137,559,0,-,0.755,0,-,0.84,-,-,-,-,-,-,137,559,0.755,20220421-AQUE-001,20220421-AQUE-001-B
4/21/22 17:22,1398092,4/21/22,17:22:06,FO,17,156,627,0,-,0.751,0,-,0.84,-,-,-,-,-,-,156,627,0.751,20220421-AQUE-001,20220421-AQUE-001-B
4/21/22 17:22,1414238,4/21/22,17:22:22,FO,18,154,590,0,-,0.739,0,-,0.84,-,-,-,-,-,-,154,590,0.739,20220421-AQUE-001,20220421-AQUE-001-B
4/21/22 17:22,1425847,4/21/22,17:22:33,FO,19,144,596,0,-,0.758,0,-,0.84,-,-,-,-,-,-,144,596,0.758,20220421-AQUE-001,20220421-AQUE-001-B
4/21/22 17:22,1437015,4/21/22,17:22:45,FO,20,147,583,0,-,0.748,0,-,0.84,-,-,-,-,-,-,147,583,0.748,20220421-AQUE-001,20220421-AQUE-001-B
4/21/22 17:22,1449522,4/21/22,17:22:57,FO,21,129,539,0,-,0.761,0,-,0.84,-,-,-,-,-,-,129,539,0.761,20220421-AQUE-001,20220421-AQUE-001-B
4/21/22 17:23,1462935,4/21/22,17:23:11,FO,22,121,475,0,-,0.745,0,-,0.84,-,-,-,-,-,-,121,475,0.745,20220421-AQUE-001,20220421-AQUE-001-B
4/21/22 17:23,1470031,4/21/22,17:23:18,FO,23,4,10,0,-,-,-,-,0.84,-,-,-,-,-,-,4,10,-,NA,NA
4/21/22 17:23,1473863,4/21/22,17:23:21,FO,24,3,7,0,-,-,-,-,0.84,-,-,-,-,-,-,3,7,-,NA,NA
4/21/22 17:23,1489516,4/21/22,17:23:37,FO,25,122,500,0,-,0.756,0,-,0.84,-,-,-,-,-,-,122,500,0.756,20220421-AQUE-001,20220421-AQUE-001-H
4/21/22 17:23,1501371,4/21/22,17:23:49,FO,26,146,546,0,-,0.733,0,-,0.84,-,-,-,-,-,-,146,546,0.733,20220421-AQUE-001,20220421-AQUE-001-H
4/21/22 17:24,1513637,4/21/22,17:24:01,FO,27,136,560,0,-,0.757,0,-,0.84,-,-,-,-,-,-,136,560,0.757,20220421-AQUE-001,20220421-AQUE-001-H
4/21/22 17:24,1525357,4/21/22,17:24:13,FO,28,166,665,0,-,0.75,0,-,0.84,-,-,-,-,-,-,166,665,0.75,20220421-AQUE-001,20220421-AQUE-001-H
4/21/22 17:24,1535386,4/21/22,17:24:23,FO,29,142,543,0,-,0.738,0,-,0.84,-,-,-,-,-,-,142,543,0.738,20220421-AQUE-001,20220421-AQUE-001-H
4/21/22 17:24,1548695,4/21/22,17:24:36,FO,30,135,564,0,-,0.761,0,-,0.84,-,-,-,-,-,-,135,564,0.761,20220421-AQUE-001,20220421-AQUE-001-H
4/21/22 17:24,1558411,4/21/22,17:24:46,FO,31,149,568,0,-,0.738,0,-,0.84,-,-,-,-,-,-,149,568,0.738,20220421-AQUE-001,20220421-AQUE-001-H
4/21/22 17:24,1571403,4/21/22,17:24:59,FO,32,68,262,0,-,0.74,0,-,0.84,-,-,-,-,-,-,68,262,0.74,20220421-AQUE-001,20220421-AQUE-001-H
4/21/22 17:25,1590554,4/21/22,17:25:18,FO,33,138,526,0,-,0.738,0,-,0.84,-,-,-,-,-,-,138,526,0.738,20220421-AQUE-001,20220421-AQUE-001-H
4/21/22 17:25,1606306,4/21/22,17:25:34,FO,34,92,322,0,-,0.714,0,-,0.84,-,-,-,-,-,-,92,322,0.714,20220421-AQUE-001,20220421-AQUE-001-H
4/21/22 17:25,1612296,4/21/22,17:25:40,FO,35,7,8,0,-,-,-,-,0.84,-,-,-,-,-,-,7,8,-,NA,NA
4/21/22 17:25,1616131,4/21/22,17:25:44,FO,36,6,8,0,-,-,-,-,0.84,-,-,-,-,-,-,6,8,-,NA,NA
4/21/22 17:27,1733224,4/21/22,17:27:41,FO,37,136,333,0,-,0.592,0,-,0.84,-,-,-,-,-,-,136,333,0.592,20220421-AQUE-001,20220421-AQUE-001-C
4/21/22 17:27,1744842,4/21/22,17:27:52,FO,38,146,364,0,-,0.599,0,-,0.84,-,-,-,-,-,-,146,364,0.599,20220421-AQUE-001,20220421-AQUE-001-C
4/21/22 17:28,1756450,4/21/22,17:28:04,FO,39,138,379,0,-,0.636,0,-,0.84,-,-,-,-,-,-,138,379,0.636,20220421-AQUE-001,20220421-AQUE-001-C
4/21/22 17:28,1768856,4/21/22,17:28:16,FO,40,40,146,0,-,0.726,0,-,0.84,-,-,-,-,-,-,40,146,0.726,20220421-AQUE-001,20220421-AQUE-001-C
4/21/22 17:28,1785087,4/21/22,17:28:33,FO,41,148,582,0,-,0.746,0,-,0.84,-,-,-,-,-,-,148,582,0.746,20220421-AQUE-001,20220421-AQUE-001-C
4/21/22 17:28,1799725,4/21/22,17:28:47,FO,42,173,644,0,-,0.731,0,-,0.84,-,-,-,-,-,-,173,644,0.731,20220421-AQUE-001,20220421-AQUE-001-C
4/21/22 17:29,1813178,4/21/22,17:29:01,FO,43,133,550,0,-,0.758,0,-,0.84,-,-,-,-,-,-,133,550,0.758,20220421-AQUE-001,20220421-AQUE-001-C
4/21/22 17:29,1826796,4/21/22,17:29:14,FO,44,145,494,0,-,0.706,0,-,0.84,-,-,-,-,-,-,145,494,0.706,20220421-AQUE-001,20220421-AQUE-001-C
4/21/22 17:29,1844919,4/21/22,17:29:32,FO,45,135,625,0,-,0.784,0,-,0.84,-,-,-,-,-,-,135,625,0.784,20220421-AQUE-001,20220421-AQUE-001-C
4/21/22 17:29,1857335,4/21/22,17:29:45,FO,46,163,684,0,-,0.762,0,-,0.84,-,-,-,-,-,-,163,684,0.762,20220421-AQUE-001,20220421-AQUE-001-C
4/21/22 17:30,1871966,4/21/22,17:30:00,FO,47,9,13,0,-,-,-,-,0.84,-,-,-,-,-,-,9,13,-,NA,NA
4/21/22 17:30,1881445,4/21/22,17:30:09,FO,48,3,8,0,-,-,-,-,0.84,-,-,-,-,-,-,3,8,-,NA,NA
4/21/22 17:30,1916902,4/21/22,17:30:44,FO,49,91,399,0,-,0.772,0,-,0.84,-,-,-,-,-,-,91,399,0.772,20220421-AQUE-001,20220421-AQUE-001-G
4/21/22 17:30,1927823,4/21/22,17:30:55,FO,50,35,104,0,-,0.663,0,-,0.84,-,-,-,-,-,-,35,104,0.663,20220421-AQUE-001,20220421-AQUE-001-G
4/21/22 17:31,1936235,4/21/22,17:31:04,FO,51,61,273,0,-,0.777,0,-,0.84,-,-,-,-,-,-,61,273,0.777,20220421-AQUE-001,20220421-AQUE-001-G
4/21/22 17:31,1944037,4/21/22,17:31:12,FO,52,29,29,0,-,-,-,-,0.84,-,-,-,-,-,-,29,29,0,NA,NA
4/21/22 17:31,1955165,4/21/22,17:31:23,FO,53,40,118,0,-,0.661,0,-,0.84,-,-,-,-,-,-,40,118,0.661,20220421-AQUE-001,20220421-AQUE-001-G
4/21/22 17:31,1965602,4/21/22,17:31:33,FO,54,170,623,0,-,0.727,0,-,0.84,-,-,-,-,-,-,170,623,0.727,20220421-AQUE-001,20220421-AQUE-001-G
4/21/22 17:31,1973434,4/21/22,17:31:41,FO,55,5,17,0,-,-,-,-,0.84,-,-,-,-,-,-,5,17,-,NA,NA
4/21/22 17:34,2114495,4/21/22,17:34:02,FO,56,152,591,0,-,0.743,0,-,0.84,-,-,-,-,-,-,152,591,0.743,20220421-AQUE-001,20220421-AQUE-001-D
4/21/22 17:34,2125422,4/21/22,17:34:13,FO,57,161,612,0,-,0.737,0,-,0.84,-,-,-,-,-,-,161,612,0.737,20220421-AQUE-001,20220421-AQUE-001-D
4/21/22 17:34,2136095,4/21/22,17:34:24,FO,58,175,704,0,-,0.751,0,-,0.84,-,-,-,-,-,-,175,704,0.751,20220421-AQUE-001,20220421-AQUE-001-D
4/21/22 17:34,2143448,4/21/22,17:34:31,FO,59,162,680,0,-,0.762,0,-,0.84,-,-,-,-,-,-,162,680,0.762,20220421-AQUE-001,20220421-AQUE-001-D
4/21/22 17:34,2153112,4/21/22,17:34:41,FO,60,138,585,0,-,0.764,0,-,0.84,-,-,-,-,-,-,138,585,0.764,20220421-AQUE-001,20220421-AQUE-001-D
4/21/22 17:34,2162505,4/21/22,17:34:50,FO,61,135,328,0,-,0.588,0,-,0.84,-,-,-,-,-,-,135,328,0.588,20220421-AQUE-001,20220421-AQUE-001-D
